"nature","sms"
1,"Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These.."
0,"I'm home..."
0,"Ok... Sweet dreams..."
0,"I dont know exactly could you ask chechi."
0,"I donno its in your genes or something"
0,"How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.I��m knackered and i��m dreading work tonight. What are thou upto tonight. X"
0,"Arun can u transfr me d amt"
0,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
0,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
0,"Ok.ok ok..then..whats ur todays plan"
0,"I'm still pretty weak today .. Bad day ?"
0,"Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life."
0,"So what u doing today?"
0,"I am in hospital da. . I will return home in evening"
0,"Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come..."
0,"Oh :-)only 4 outside players allowed to play know"
0,"K k pa Had your lunch aha."
1,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
1,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or �250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
0,"I'm awake oh. What's up."
0,"Omg if its not one thing its another. My cat has worms :/ when does this bad day end?"
0,"I'm leaving my house now."
0,"Sent me ur email id soon"
1,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text"
0,"Cuz ibored. And don wanna study"
0,"Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*"
1,"URGENT! Your Mobile No 07808726822 was awarded a �2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU"
0,"How many times i told in the stage all use to laugh. You not listen aha."
1,"Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com"
0,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
0,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
0,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
0,"No..its ful of song lyrics.."
0,"If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/"
0,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
0,"Just now saw your message.it k da:)"
0,"Lol! Oops sorry! Have fun. "
0,"WHAT TIME U WRKIN?"
0,"Ok leave no need to ask"
0,"Yes... I trust u to buy new stuff ASAP so I can try it out"
0,"Forgot to tell �_ smth.. Can �_ like number the sections so that it's clearer.."
1,"Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP"
1,"Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324"
0,"thanks for the temales it was wonderful. Thank. Have a great week."
0,"Received, understood n acted upon!"
0,"No. Yes please. Been swimming?"
0,"Me too. Mark is taking forever to pick up my prescription and the pain is coming back."
0,"Oops I did have it,  &lt;#&gt; ?"
0,"Which channel:-):-):):-)."
0,"What???? Hello wats talks email address?"
0,"I hope your pee burns tonite."
0,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
1,"We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705"
0,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
0,"There'll be a minor shindig at my place later tonight, you interested?"
0,"Rofl. Its true to its name"
0,"Thats cool princess! I will cover your face in hot sticky cum :)"
1,"FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop"
0,"Sorry about that this is my mates phone and i didnt write it love Kate"
0,"Don no da:)whats you plan?"
0,"Sorry, I'll call later"
0,"Haha awesome, I might need to take you up on that, what you doin tonight?"
1,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
0,"Dude im no longer a pisces. Im an aquarius now."
0,"I want  &lt;#&gt;  rs da:)do you have it?"
0,"No one interested. May be some business plan."
0,"Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks"
0,"I've been trying to reach him without success"
0,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
0,"Understand. his loss is my gain :) so do you work? School?"
0,"Missing you too.pray inshah allah"
0,"Can u look 4 me in da lib i got stuff havent finish yet."
1,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
0,"Pls call me da. What happen."
0,"Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply.."
0,"Yes princess! I want to please you every night. Your wish is my command..."
0,"No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam."
0,"Call me, i am senthil from hsbc."
1,"5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity."
0,"Nope. I just forgot. Will show next week"
0,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
0,"have * good weekend."
0,"Im good! I have been thinking about you..."
1,"Urgent! Please call 09061213237 from a landline. �5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+"
0,"K I'll head out in a few mins, see you there"
0,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
0,"HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN"
0,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
0,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. "
0,"Sry da..jst nw only i came to home.."
0,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
0,"Surly ill give it to you:-) while coming to review."
0,"I'm at work. Please call"
0,"Oh... Okie lor...We go on sat... "
0,"Wot is u up 2 then bitch?"
0,"Hahaha..use your brain dear"
0,"I am in bus on the way to calicut"
0,"Hmmm.but you should give it on one day.."
0,"Then anything special?"
0,"Ill be at yours in about 3 mins but look out for me"
1,"No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info"
0,"How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed."
0,"Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear"
0,"Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)"
0,"U horrible gal... U knew dat i was going out wif him yest n u still come n ask me..."
0,"Well boy am I glad G wasted all night at applebees for nothing"
0,"It means u could not keep ur words."
0,"What you did in  leave."
0,":-( sad puppy noise"
0,"Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  "
0,"Ok lor."
0,"Oh yes, why is it like torture watching england?"
0,"Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala."
0,"Dunno leh cant remember mayb lor. So wat time r we meeting tmr?"
0,"I've told you everything will stop. Just dont let her get dehydrated."
0,"Water logging in desert. Geoenvironmental implications."
1,"Thanks 4 your continued support Your question this week will enter u in2 our draw 4 �100 cash. Name the NEW US President? txt ans to 80082"
0,"My uncles in Atlanta. Wish you guys a great semester."
0,"Lol they were mad at first but then they woke up and gave in."
0,"if you aren't here in the next  &lt;#&gt;  hours imma flip my shit"
0,"That's y u haf 2 keep me busy..."
0,"Ok u can take me shopping when u get paid =D"
0,"Everybody had fun this evening. Miss you."
0,"Happy new year. Hope you are having a good semester"
1,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
0,"Yay can't wait to party together!"
0,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
